3_dig_zip,2014_accpt_loans,2014_rejected_loans,2014_Total_loans_considered,2014_pct_accepted
007,2,63.0,65.0,0.03076923076923077
008,1,45.0,46.0,0.021739130434782608
010,379,2741.0,3120.0,0.12147435897435897
011,115,1367.0,1482.0,0.07759784075573549
012,93,803.0,896.0,0.10379464285714286
013,66,495.0,561.0,0.11764705882352941
014,177,1295.0,1472.0,0.12024456521739131
015,374,2214.0,2588.0,0.1445131375579598
016,140,1173.0,1313.0,0.10662604722010663
017,273,1649.0,1922.0,0.14203954214360043
018,556,4125.0,4681.0,0.11877803888058107
019,408,2879.0,3287.0,0.12412534225737755
020,294,1791.0,2085.0,0.1410071942446043
021,1069,7993.0,9062.0,0.11796512911057162
022,23,97.0,120.0,0.19166666666666668
023,422,3039.0,3461.0,0.12193007801213522
024,215,1231.0,1446.0,0.14868603042876902
025,78,721.0,799.0,0.09762202753441802
026,133,928.0,1061.0,0.12535344015080113
027,402,3688.0,4090.0,0.09828850855745722
028,695,4728.0,5423.0,0.12815784621058454
029,344,2938.0,3282.0,0.1048141377209019
030,346,2202.0,2548.0,0.1357927786499215
031,136,945.0,1081.0,0.12580943570767808
032,153,1190.0,1343.0,0.11392405063291139
033,53,384.0,437.0,0.12128146453089245
034,67,425.0,492.0,0.13617886178861788
035,42,300.0,342.0,0.12280701754385964
036,11,85.0,96.0,0.11458333333333333
037,59,403.0,462.0,0.1277056277056277
038,283,1854.0,2137.0,0.13242863827795975
043,2,16.0,18.0,0.1111111111111111
050,52,433.0,485.0,0.10721649484536082
051,20,197.0,217.0,0.09216589861751152
052,28,278.0,306.0,0.0915032679738562
053,27,188.0,215.0,0.12558139534883722
054,239,1293.0,1532.0,0.15600522193211488
056,66,517.0,583.0,0.11320754716981132
057,69,471.0,540.0,0.12777777777777777
058,31,353.0,384.0,0.08072916666666667
059,8,31.0,39.0,0.20512820512820512
060,648,4342.0,4990.0,0.12985971943887775
061,214,2147.0,2361.0,0.09063955950868276
062,144,974.0,1118.0,0.12880143112701253
063,282,2040.0,2322.0,0.12144702842377261
064,746,4723.0,5469.0,0.13640519290546718
065,311,2288.0,2599.0,0.11966140823393613
066,243,2035.0,2278.0,0.10667251975417033
067,355,2693.0,3048.0,0.11646981627296588
068,391,2365.0,2756.0,0.14187227866473148
069,140,800.0,940.0,0.14893617021276595
070,1936,12244.0,14180.0,0.13653032440056417
071,310,3265.0,3575.0,0.08671328671328671
072,197,1509.0,1706.0,0.11547479484173505
073,307,2271.0,2578.0,0.11908456167571761
074,466,2611.0,3077.0,0.15144621384465387
075,149,1662.0,1811.0,0.08227498619547212
076,568,3467.0,4035.0,0.14076827757125154
077,570,3604.0,4174.0,0.13655965500718736
078,401,2191.0,2592.0,0.15470679012345678
079,184,913.0,1097.0,0.16773017319963537
080,1267,8866.0,10133.0,0.12503700779630908
081,103,1018.0,1121.0,0.09188224799286351
082,199,1910.0,2109.0,0.09435751541014699
